PerCent,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,CumulativeChangefrom2014to2024,CumulativeChangefrom2014to2019,CumulativeChangefrom2019to2024,AnnualisedChangefrom2014to2024,AnnualisedChangefrom2014to2019,AnnualisedChangefrom2019to2024
Total,8.1,-2.2,1.4,2.8,5.2,6.4,10.3,9.9,-2.4,7.5,7.8,7.2,1.7,6.9,5.5,0.8,4.2,3.5,3.7,-2.4,3.6,7.5,5,4.1,41.4,18.9,18.9,3.5,3.5,3.5
1st (Lowest),-1.4,-4.2,-0.7,1.1,-1.1,7.3,5.8,9.3,-1.8,6,10.7,4.3,4.9,5.8,8.4,0.6,2.4,3.1,4.2,-5.7,6.2,15.5,2.5,5.2,49.9,20,24.9,4.1,3.7,4.5
2nd,0.8,-3,0.6,1.8,2.8,5.7,5.9,10.7,-0.8,7.8,8.1,6.7,4.5,7.7,6.3,2.4,3,2.7,5,-3.3,7.2,9.6,5.5,4,50.8,21,24.7,4.2,3.9,4.5
3rd,2.9,-2.1,0.3,3.1,2.5,5.8,5.8,11.8,-1.1,7.8,8.1,6.2,5.3,6.9,5.8,2.5,3.3,3.5,4.4,-2.2,6.4,8.4,6.5,3.2,49.8,21,23.8,4.1,3.9,4.4
4th,3.8,-1.5,0.2,2.7,3.8,4.6,6.8,12.2,-1.6,7.9,7.2,6.6,5.6,6.8,5.4,1.7,3.3,4,5,-2.3,6.2,8.3,6.6,2.9,49.2,21,23.2,4.1,3.9,4.3
5th,6,-2.3,0.9,1.8,4.4,4.6,7.4,12.2,-1.1,6.7,6.7,6.7,5.8,6.2,4.7,2.6,4,3.7,5.1,-1.7,5.9,8,6.3,3.4,50.5,21.7,23.6,4.2,4,4.3
6th,6.7,-2.2,1.1,1.7,4.9,4.4,7.2,12.3,-1.3,6.6,7,6.5,5.3,6.1,4.9,2.6,4.7,2.8,5.8,-1.6,4.5,8.2,6.5,3.3,50,22.5,22.4,4.1,4.1,4.1
7th,8.5,-2.3,1.2,1.7,5,4.2,8.8,12.2,-2,6.2,7.2,5.4,5,6,5.2,2.8,4.4,3.7,6,-2.3,4.5,8.2,6.4,3.6,50.9,24,21.7,4.2,4.4,4
8th,9.3,-2.3,1.7,1.3,5.4,5.2,9.4,11.5,-2.5,6.5,6.7,5.6,4.7,6.1,4.8,2.9,4.5,4.5,5.2,-2.3,3.7,8.4,6,3.2,48.5,23.8,20,4,4.4,3.7
9th,10.6,-2,1.4,2.3,5.2,5.9,9.1,11.4,-3.3,7.5,6.7,5.5,3.8,6.5,4.5,1.4,5.8,4.6,4.4,-2.1,3.7,8.3,4.9,3.9,46.5,22.3,19.8,3.9,4.1,3.7
10th (Highest),9.6,-2.1,2.1,4.5,6.5,8.9,14,6.9,-2.8,8.4,9.2,9.5,-3.5,7.8,6.3,-1.7,3.8,2.7,1.1,-2.6,1.6,5.6,3.1,5.5,28,12.5,13.8,2.5,2.4,2.6
