month,vehicle_class,quota,bids_success,bids_received,premium,coe_indexed_monthly,coe_indexed_2010-01
2010-01-01,Category A,1151.5,1147.0,1507.5,19501.5,100.0,100.0
2010-01-01,Category B,702.0,698.0,994.0,20795.0,100.0,100.0
2010-01-01,Category C,177.0,173.0,272.5,19545.5,100.0,100.0
2010-01-01,Category D,375.5,371.5,530.0,870.5,100.0,100.0
2010-01-01,Category E,587.0,573.0,1166.5,20894.0,100.0,100.0
2010-02-01,Category A,1151.0,1150.5,1409.5,20164.5,100.0,103.4
2010-02-01,Category B,689.0,674.0,943.0,23534.5,100.0,113.174
2010-02-01,Category C,169.0,166.0,267.5,22445.5,100.0,114.837
2010-02-01,Category D,367.0,352.0,498.5,926.5,100.0,106.433
2010-02-01,Category E,595.5,591.5,1162.0,23315.0,100.0,111.587
2010-03-01,Category A,1147.0,1139.0,1970.5,24595.5,100.0,126.121
2010-03-01,Category B,699.5,683.0,1147.0,31239.0,100.0,150.224
2010-03-01,Category C,168.0,152.5,299.0,29945.5,100.0,153.209
2010-03-01,Category D,378.0,375.5,481.0,1179.5,100.0,135.497
2010-03-01,Category E,585.5,564.5,1345.5,34795.5,100.0,166.533
2010-04-01,Category A,705.5,650.5,1310.5,32000.5,100.0,164.093
2010-04-01,Category B,566.0,560.0,877.0,42751.0,100.0,205.583
2010-04-01,Category C,191.5,185.0,313.5,36033.5,100.0,184.357
2010-04-01,Category D,338.5,322.5,396.0,1237.0,100.0,142.102
2010-04-01,Category E,381.0,355.5,782.5,46001.5,100.0,220.166
2010-05-01,Category A,752.5,747.5,1165.0,26745.5,100.0,137.146
2010-05-01,Category B,555.5,550.0,792.0,36300.0,100.0,174.561
2010-05-01,Category C,182.5,178.5,312.5,30945.0,100.0,158.323
2010-05-01,Category D,352.0,338.5,441.5,1282.0,100.0,147.272
2010-05-01,Category E,385.5,384.0,732.5,39001.0,100.0,186.661
2010-06-01,Category A,702.5,700.5,1004.5,30780.5,100.0,157.837
2010-06-01,Category B,555.0,550.0,749.5,39956.5,100.0,192.145
2010-06-01,Category C,180.0,176.0,263.0,30939.0,100.0,158.292
2010-06-01,Category D,349.5,341.5,440.0,1453.0,100.0,166.916
2010-06-01,Category E,361.5,340.5,660.5,41003.0,100.0,196.243
2010-07-01,Category A,699.5,683.5,930.0,32831.5,100.0,168.354
2010-07-01,Category B,554.5,552.5,780.5,39399.0,100.0,189.464
2010-07-01,Category C,180.0,179.0,281.0,30995.0,100.0,158.579
2010-07-01,Category D,344.0,340.5,424.0,1305.0,100.0,149.914
2010-07-01,Category E,381.0,378.0,692.5,42287.5,100.0,202.391
2010-08-01,Category A,614.0,597.5,880.5,30552.0,100.0,156.665
2010-08-01,Category B,480.5,475.5,672.5,43072.0,100.0,207.127
2010-08-01,Category C,205.5,205.0,279.5,30057.0,100.0,153.78
2010-08-01,Category D,335.5,328.0,376.5,1276.0,100.0,146.582
2010-08-01,Category E,312.0,311.5,588.5,43201.0,100.0,206.763
2010-09-01,Category A,614.0,587.5,884.0,31545.0,100.0,161.757
2010-09-01,Category B,483.5,483.5,702.5,43315.0,100.0,208.295
2010-09-01,Category C,205.0,195.5,281.0,32000.5,100.0,163.723
2010-09-01,Category D,340.0,333.0,408.5,1477.0,100.0,169.673
2010-09-01,Category E,309.5,307.5,490.0,43645.5,100.0,208.89
2010-10-01,Category A,624.0,624.0,769.5,32773.5,100.0,168.056
2010-10-01,Category B,479.0,477.0,698.0,43700.5,100.0,210.149
2010-10-01,Category C,214.0,213.5,287.0,30700.0,100.0,157.069
2010-10-01,Category D,339.0,312.0,426.0,1595.5,100.0,183.285
2010-10-01,Category E,311.0,295.5,486.5,44495.0,100.0,212.956
2010-11-01,Category A,597.5,587.5,838.0,36500.5,100.0,187.168
2010-11-01,Category B,481.0,470.5,713.5,46695.5,100.0,224.552
2010-11-01,Category C,205.0,201.5,255.5,31104.0,100.0,159.136
2010-11-01,Category D,359.0,338.0,419.0,1477.0,100.0,169.673
2010-11-01,Category E,324.5,322.0,565.5,47945.5,100.0,229.47
2010-12-01,Category A,607.5,594.5,887.5,46866.5,100.0,240.323
2010-12-01,Category B,489.0,485.5,953.0,67251.5,100.0,323.402
2010-12-01,Category C,208.0,206.0,297.0,32751.0,100.0,167.563
2010-12-01,Category D,353.0,345.5,408.0,1626.0,100.0,186.789
