,month,vehicle_class,quota,bids_success,bids_received,premium
0,2010-01,Category A,1151.5,1147.0,1507.5,19501.5
1,2010-01,Category B,702.0,698.0,994.0,20795.0
2,2010-01,Category C,177.0,173.0,272.5,19545.5
3,2010-01,Category D,375.5,371.5,530.0,870.5
4,2010-01,Category E,587.0,573.0,1166.5,20894.0
5,2010-02,Category A,1151.0,1150.5,1409.5,20164.5
6,2010-02,Category B,689.0,674.0,943.0,23534.5
7,2010-02,Category C,169.0,166.0,267.5,22445.5
8,2010-02,Category D,367.0,352.0,498.5,926.5
9,2010-02,Category E,595.5,591.5,1162.0,23315.0
10,2010-03,Category A,1147.0,1139.0,1970.5,24595.5
11,2010-03,Category B,699.5,683.0,1147.0,31239.0
12,2010-03,Category C,168.0,152.5,299.0,29945.5
13,2010-03,Category D,378.0,375.5,481.0,1179.5
14,2010-03,Category E,585.5,564.5,1345.5,34795.5
15,2010-04,Category A,705.5,650.5,1310.5,32000.5
16,2010-04,Category B,566.0,560.0,877.0,42751.0
17,2010-04,Category C,191.5,185.0,313.5,36033.5
18,2010-04,Category D,338.5,322.5,396.0,1237.0
19,2010-04,Category E,381.0,355.5,782.5,46001.5
20,2010-05,Category A,752.5,747.5,1165.0,26745.5
21,2010-05,Category B,555.5,550.0,792.0,36300.0
22,2010-05,Category C,182.5,178.5,312.5,30945.0
23,2010-05,Category D,352.0,338.5,441.5,1282.0
24,2010-05,Category E,385.5,384.0,732.5,39001.0
25,2010-06,Category A,702.5,700.5,1004.5,30780.5
26,2010-06,Category B,555.0,550.0,749.5,39956.5
27,2010-06,Category C,180.0,176.0,263.0,30939.0
28,2010-06,Category D,349.5,341.5,440.0,1453.0
29,2010-06,Category E,361.5,340.5,660.5,41003.0
30,2010-07,Category A,699.5,683.5,930.0,32831.5
31,2010-07,Category B,554.5,552.5,780.5,39399.0
32,2010-07,Category C,180.0,179.0,281.0,30995.0
33,2010-07,Category D,344.0,340.5,424.0,1305.0
34,2010-07,Category E,381.0,378.0,692.5,42287.5
35,2010-08,Category A,614.0,597.5,880.5,30552.0
36,2010-08,Category B,480.5,475.5,672.5,43072.0
37,2010-08,Category C,205.5,205.0,279.5,30057.0
38,2010-08,Category D,335.5,328.0,376.5,1276.0
39,2010-08,Category E,312.0,311.5,588.5,43201.0
40,2010-09,Category A,614.0,587.5,884.0,31545.0
41,2010-09,Category B,483.5,483.5,702.5,43315.0
42,2010-09,Category C,205.0,195.5,281.0,32000.5
43,2010-09,Category D,340.0,333.0,408.5,1477.0
44,2010-09,Category E,309.5,307.5,490.0,43645.5
45,2010-10,Category A,624.0,624.0,769.5,32773.5
46,2010-10,Category B,479.0,477.0,698.0,43700.5
47,2010-10,Category C,214.0,213.5,287.0,30700.0
48,2010-10,Category D,339.0,312.0,426.0,1595.5
49,2010-10,Category E,311.0,295.5,486.5,44495.0
50,2010-11,Category A,597.5,587.5,838.0,36500.5
51,2010-11,Category B,481.0,470.5,713.5,46695.5
52,2010-11,Category C,205.0,201.5,255.5,31104.0
53,2010-11,Category D,359.0,338.0,419.0,1477.0
54,2010-11,Category E,324.5,322.0,565.5,47945.5
55,2010-12,Category A,607.5,594.5,887.5,46866.5
56,2010-12,Category B,489.0,485.5,953.0,67251.5
57,2010-12,Category C,208.0,206.0,297.0,32751.0
58,2010-12,Category D,353.0,345.5,408.0,1626.0
59,2010-12,Category E,312.0,307.5,568.5,70501.0
60,2011-01,Category A,610.5,604.0,1141.5,39506.0
61,2011-01,Category B,482.0,478.0,745.0,63955.0
62,2011-01,Category C,206.0,200.5,283.0,32555.5
63,2011-01,Category D,339.5,336.0,428.0,1596.5
64,2011-01,Category E,314.0,308.5,454.0,71399.0
65,2011-02,Category A,517.0,497.5,967.0,40061.5
66,2011-02,Category B,427.5,427.0,683.0,57700.0
67,2011-02,Category C,281.0,278.5,362.0,28800.0
68,2011-02,Category D,329.0,311.0,439.0,1910.0
